DATATYPE	 IR Spectrum
XYUNITS	 Wavenumber;PercentTransmittance
DECIMALSYMBOL	 .
400.2229	 80.7964
400.6888	 81.2332
401.1547	 81.6641
401.6207	 82.0710
402.0866	 82.4416
402.5525	 82.7679
403.0184	 83.0459
403.4843	 83.2741
403.9502	 83.4529
404.4162	 83.5841
404.8821	 83.6704
405.3480	 83.7150
405.8139	 83.7214
406.2798	 83.6938
406.7457	 83.6363
407.2117	 83.5535
407.6776	 83.4503
408.1435	 83.3319
408.6094	 83.2041
409.0753	 83.0726
409.5412	 82.9437
410.0072	 82.8237
410.4731	 82.7189
410.9390	 82.6351
411.4049	 82.5775
411.8708	 82.5503
412.3367	 82.5562
412.8027	 82.5961
413.2686	 82.6692
413.7345	 82.7725
414.2004	 82.9013
414.6663	 83.0492
415.1323	 83.2089
415.5982	 83.3722
416.0641	 83.5309
416.5300	 83.6774
416.9959	 83.8045
417.4618	 83.9065
417.9278	 83.9789
418.3937	 84.0185
418.8596	 84.0237
419.3255	 83.9942
419.7914	 83.9308
420.2573	 83.8356
420.7233	 83.7119
421.1892	 83.5635
421.6551	 83.3953
422.1210	 83.2126
422.5869	 83.0210
423.0528	 82.8266
423.5188	 82.6355
423.9847	 82.4535
424.4506	 82.2861
424.9165	 82.1382
425.3824	 82.0140
425.8483	 81.9167
426.3143	 81.8484
426.7802	 81.8103
427.2461	 81.8021
427.7120	 81.8229
428.1779	 81.8704
428.6439	 81.9420
429.1098	 82.0339
429.5757	 82.1424
430.0416	 82.2631
430.5075	 82.3918
430.9734	 82.5242
431.4394	 82.6564
431.9053	 82.7846
432.3712	 82.9055
432.8371	 83.0163
433.3030	 83.1145
433.7689	 83.1982
434.2349	 83.2661
434.7008	 83.3173
435.1667	 83.3514
435.6326	 83.3685
436.0985	 83.3693
436.5644	 83.3547
437.0304	 83.3262
437.4963	 83.2857
437.9622	 83.2354
438.4281	 83.1777
438.8940	 83.1154
439.3599	 83.0510
439.8259	 82.9875
440.2918	 82.9274
440.7577	 82.8732
441.2236	 82.8269
441.6895	 82.7902
442.1555	 82.7642
442.6214	 82.7497
443.0873	 82.7467
443.5532	 82.7548
444.0191	 82.7731
444.4850	 82.8001
444.9510	 82.8343
445.4169	 82.8736
445.8828	 82.9160
446.3487	 82.9594
446.8146	 83.0018
447.2805	 83.0410
447.7465	 83.0753
448.2124	 83.1032
448.6783	 83.1235
449.1442	 83.1351
449.6101	 83.1374
450.0760	 83.1302
450.5420	 83.1135
451.0079	 83.0877
451.4738	 83.0536
451.9397	 83.0124
452.4056	 82.9653
452.8715	 82.9141
453.3375	 82.8606
453.8034	 82.8069
454.2693	 82.7552
454.7352	 82.7075
455.2011	 82.6661
455.6671	 82.6327
456.1330	 82.6091
456.5989	 82.5967
457.0648	 82.5964
457.5307	 82.6087
457.9966	 82.6337
458.4626	 82.6710
458.9285	 82.7197
459.3944	 82.7786
459.8603	 82.8460
460.3262	 82.9202
460.7921	 82.9992
461.2581	 83.0808
461.7240	 83.1631
462.1899	 83.2439
462.6558	 83.3215
463.1217	 83.3941
463.5876	 83.4605
464.0536	 83.5194
464.5195	 83.5699
464.9854	 83.6115
465.4513	 83.6440
465.9172	 83.6673
466.3831	 83.6818
466.8491	 83.6881
467.3150	 83.6869
467.7809	 83.6795
468.2468	 83.6669
468.7127	 83.6507
469.1787	 83.6322
469.6446	 83.6130
470.1105	 83.5945
470.5764	 83.5784
471.0423	 83.5657
471.5082	 83.5578
471.9742	 83.5554
472.4401	 83.5592
472.9060	 83.5696
473.3719	 83.5866
473.8378	 83.6099
474.3037	 83.6390
474.7697	 83.6733
475.2356	 83.7116
475.7015	 83.7530
476.1674	 83.7962
476.6333	 83.8399
477.0992	 83.8831
477.5652	 83.9244
478.0311	 83.9629
478.4970	 83.9977
478.9629	 84.0279
479.4288	 84.0530
479.8947	 84.0728
480.3607	 84.0868
480.8266	 84.0954
481.2925	 84.0985
481.7584	 84.0968
482.2243	 84.0907
482.6902	 84.0809
483.1562	 84.0685
483.6221	 84.0542
484.0880	 84.0392
484.5539	 84.0243
485.0198	 84.0107
485.4858	 83.9992
485.9517	 83.9908
486.4176	 83.9860
486.8835	 83.9856
487.3494	 83.9898
487.8153	 83.9989
488.2813	 84.0128
488.7472	 84.0313
489.2131	 84.0540
489.6790	 84.0804
490.1449	 84.1098
490.6108	 84.1413
491.0768	 84.1741
491.5427	 84.2073
492.0086	 84.2400
492.4745	 84.2712
492.9404	 84.3003
493.4063	 84.3265
493.8723	 84.3492
494.3382	 84.3679
494.8041	 84.3822
495.2700	 84.3921
495.7359	 84.3975
496.2018	 84.3984
496.6678	 84.3952
497.1337	 84.3883
497.5996	 84.3781
498.0655	 84.3652
498.5314	 84.3504
498.9974	 84.3343
499.4633	 84.3178
499.9292	 84.3016
500.3951	 84.2863
500.8610	 84.2727
501.3269	 84.2612
501.7929	 84.2523
502.2588	 84.2462
502.7247	 84.2432
503.1906	 84.2432
503.6565	 84.2459
504.1224	 84.2512
504.5884	 84.2586
505.0543	 84.2676
505.5202	 84.2774
505.9861	 84.2876
506.4520	 84.2974
506.9179	 84.3062
507.3839	 84.3133
507.8498	 84.3182
508.3157	 84.3205
508.7816	 84.3198
509.2475	 84.3159
509.7134	 84.3085
510.1794	 84.2979
510.6453	 84.2841
511.1112	 84.2674
511.5771	 84.2483
512.0430	 84.2271
512.5090	 84.2045
512.9749	 84.1813
513.4408	 84.1579
513.9067	 84.1353
514.3726	 84.1140
514.8385	 84.0949
515.3045	 84.0784
515.7704	 84.0651
516.2363	 84.0554
516.7022	 84.0495
517.1681	 84.0476
517.6340	 84.0495
518.1000	 84.0550
518.5659	 84.0637
519.0318	 84.0750
519.4977	 84.0883
519.9636	 84.1027
520.4295	 84.1175
520.8955	 84.1317
521.3614	 84.1444
521.8273	 84.1548
522.2932	 84.1621
522.7591	 84.1656
523.2250	 84.1648
523.6910	 84.1592
524.1569	 84.1485
524.6228	 84.1327
525.0887	 84.1118
525.5546	 84.0861
526.0206	 84.0559
526.4865	 84.0219
526.9524	 83.9846
527.4183	 83.9449
527.8842	 83.9037
528.3501	 83.8618
528.8161	 83.8203
529.2820	 83.7802
529.7479	 83.7424
530.2138	 83.7077
530.6797	 83.6770
531.1456	 83.6509
531.6116	 83.6299
532.0775	 83.6144
532.5434	 83.6046
533.0093	 83.6005
533.4752	 83.6018
533.9411	 83.6083
534.4071	 83.6195
534.8730	 83.6348
535.3389	 83.6533
535.8048	 83.6743
536.2707	 83.6969
536.7366	 83.7202
537.2026	 83.7433
537.6685	 83.7653
538.1344	 83.7855
538.6003	 83.8032
539.0662	 83.8177
539.5322	 83.8285
539.9981	 83.8353
540.4640	 83.8378
540.9299	 83.8361
541.3958	 83.8301
541.8617	 83.8200
542.3277	 83.8063
542.7936	 83.7893
543.2595	 83.7695
543.7254	 83.7478
544.1913	 83.7246
544.6572	 83.7008
545.1232	 83.6770
545.5891	 83.6540
546.0550	 83.6324
546.5209	 83.6128
546.9868	 83.5958
547.4527	 83.5815
547.9187	 83.5705
548.3846	 83.5627
548.8505	 83.5582
549.3164	 83.5569
549.7823	 83.5587
550.2482	 83.5631
550.7142	 83.5699
551.1801	 83.5787
551.6460	 83.5890
552.1119	 83.6003
552.5778	 83.6122
553.0438	 83.6245
553.5097	 83.6366
553.9756	 83.6485
554.4415	 83.6598
554.9074	 83.6705
555.3733	 83.6807
555.8393	 83.6903
556.3052	 83.6997
556.7711	 83.7090
557.2370	 83.7185
557.7029	 83.7288
558.1688	 83.7402
558.6348	 83.7531
559.1007	 83.7680
559.5666	 83.7853
560.0325	 83.8054
560.4984	 83.8288
560.9643	 83.8555
561.4303	 83.8858
561.8962	 83.9199
562.3621	 83.9575
562.8280	 83.9987
563.2939	 84.0431
563.7598	 84.0905
564.2258	 84.1404
564.6917	 84.1922
565.1576	 84.2456
565.6235	 84.2998
566.0894	 84.3543
566.5554	 84.4084
567.0213	 84.4617
567.4872	 84.5135
567.9531	 84.5635
568.4190	 84.6111
568.8849	 84.6561
569.3509	 84.6984
569.8168	 84.7376
570.2827	 84.7738
570.7486	 84.8071
571.2145	 84.8375
571.6804	 84.8653
572.1464	 84.8908
572.6123	 84.9142
573.0782	 84.9359
573.5441	 84.9563
574.0100	 84.9758
574.4759	 84.9947
574.9419	 85.0134
575.4078	 85.0322
575.8737	 85.0513
576.3396	 85.0708
576.8055	 85.0908
577.2714	 85.1114
577.7374	 85.1325
578.2033	 85.1539
578.6692	 85.1753
579.1351	 85.1966
579.6010	 85.2174
580.0670	 85.2372
580.5329	 85.2558
580.9988	 85.2728
581.4647	 85.2877
581.9306	 85.3002
582.3965	 85.3100
582.8625	 85.3170
583.3284	 85.3208
583.7943	 85.3214
584.2602	 85.3188
584.7261	 85.3130
585.1920	 85.3042
585.6580	 85.2925
586.1239	 85.2782
586.5898	 85.2618
587.0557	 85.2436
587.5216	 85.2241
587.9875	 85.2037
588.4535	 85.1830
588.9194	 85.1625
589.3853	 85.1427
589.8512	 85.1241
590.3171	 85.1070
590.7830	 85.0918
591.2490	 85.0789
591.7149	 85.0683
592.1808	 85.0603
592.6467	 85.0547
593.1126	 85.0516
593.5786	 85.0507
594.0445	 85.0518
594.5104	 85.0545
594.9763	 85.0584
595.4422	 85.0630
595.9081	 85.0679
596.3741	 85.0725
596.8400	 85.0762
597.3059	 85.0786
597.7718	 85.0792
598.2377	 85.0774
598.7036	 85.0728
599.1696	 85.0651
599.6355	 85.0540
600.1014	 85.0392
600.5673	 85.0205
601.0332	 84.9978
601.4991	 84.9711
601.9651	 84.9405
602.4310	 84.9060
602.8969	 84.8677
603.3628	 84.8259
603.8287	 84.7808
604.2946	 84.7328
604.7606	 84.6820
605.2265	 84.6288
605.6924	 84.5736
606.1583	 84.5166
606.6242	 84.4582
607.0902	 84.3988
607.5561	 84.3385
608.0220	 84.2777
608.4879	 84.2166
608.9538	 84.1555
609.4197	 84.0946
609.8857	 84.0340
610.3516	 83.9740
610.8175	 83.9148
611.2834	 83.8565
611.7493	 83.7993
612.2152	 83.7435
612.6812	 83.6891
613.1471	 83.6365
613.6130	 83.5860
614.0789	 83.5377
614.5448	 83.4920
615.0107	 83.4491
615.4767	 83.4096
615.9426	 83.3736
616.4085	 83.3415
616.8744	 83.3137
617.3403	 83.2905
617.8062	 83.2722
618.2722	 83.2590
618.7381	 83.2512
619.2040	 83.2490
619.6699	 83.2523
620.1358	 83.2612
620.6017	 83.2756
621.0677	 83.2954
621.5336	 83.3203
621.9995	 83.3500
622.4654	 83.3840
622.9313	 83.4220
623.3973	 83.4633
623.8632	 83.5074
624.3291	 83.5538
624.7950	 83.6018
625.2609	 83.6508
625.7268	 83.7003
626.1928	 83.7498
626.6587	 83.7987
627.1246	 83.8468
627.5905	 83.8936
628.0564	 83.9390
628.5223	 83.9827
628.9883	 84.0248
629.4542	 84.0654
629.9201	 84.1045
630.3860	 84.1424
630.8519	 84.1794
631.3178	 84.2159
631.7838	 84.2523
632.2497	 84.2892
632.7156	 84.3269
633.1815	 84.3662
633.6474	 84.4073
634.1133	 84.4509
634.5793	 84.4974
635.0452	 84.5471
635.5111	 84.6004
635.9770	 84.6576
636.4429	 84.7187
636.9089	 84.7838
637.3748	 84.8529
637.8407	 84.9258
638.3066	 85.0024
638.7725	 85.0821
639.2384	 85.1647
639.7044	 85.2497
640.1703	 85.3366
640.6362	 85.4247
641.1021	 85.5134
641.5680	 85.6022
642.0339	 85.6905
642.4999	 85.7776
642.9658	 85.8630
643.4317	 85.9462
643.8976	 86.0267
644.3635	 86.1041
644.8294	 86.1782
645.2954	 86.2485
645.7613	 86.3150
646.2272	 86.3776
646.6931	 86.4362
647.1590	 86.4909
647.6249	 86.5419
648.0909	 86.5892
648.5568	 86.6331
649.0227	 86.6739
649.4886	 86.7120
649.9545	 86.7475
650.4205	 86.7809
650.8864	 86.8125
651.3523	 86.8426
651.8182	 86.8714
652.2841	 86.8993
652.7500	 86.9265
653.2160	 86.9530
653.6819	 86.9792
654.1478	 87.0051
654.6137	 87.0307
655.0796	 87.0562
655.5455	 87.0813
656.0115	 87.1063
656.4774	 87.1309
656.9433	 87.1551
657.4092	 87.1789
657.8751	 87.2020
658.3410	 87.2246
658.8070	 87.2464
659.2729	 87.2674
659.7388	 87.2876
660.2047	 87.3069
660.6706	 87.3254
661.1365	 87.3429
661.6025	 87.3596
662.0684	 87.3755
662.5343	 87.3907
663.0002	 87.4052
663.4661	 87.4193
663.9321	 87.4330
664.3980	 87.4465
664.8639	 87.4598
665.3298	 87.4732
665.7957	 87.4867
666.2616	 87.5005
666.7276	 87.5145
667.1935	 87.5289
667.6594	 87.5437
668.1253	 87.5587
668.5912	 87.5741
669.0571	 87.5898
669.5231	 87.6055
669.9890	 87.6212
670.4549	 87.6368
670.9208	 87.6521
671.3867	 87.6669
671.8526	 87.6812
672.3186	 87.6947
672.7845	 87.7075
673.2504	 87.7193
673.7163	 87.7301
674.1822	 87.7399
674.6481	 87.7486
675.1141	 87.7562
675.5800	 87.7628
676.0459	 87.7684
676.5118	 87.7731
676.9777	 87.7770
677.4437	 87.7801
677.9096	 87.7826
678.3755	 87.7845
678.8414	 87.7860
679.3073	 87.7872
679.7732	 87.7882
680.2392	 87.7891
680.7051	 87.7899
681.1710	 87.7908
681.6369	 87.7917
682.1028	 87.7928
682.5687	 87.7939
683.0347	 87.7951
683.5006	 87.7964
683.9665	 87.7977
684.4324	 87.7990
684.8983	 87.8001
685.3642	 87.8010
685.8302	 87.8017
686.2961	 87.8020
686.7620	 87.8018
687.2279	 87.8011
687.6938	 87.7999
688.1597	 87.7980
688.6257	 87.7956
689.0916	 87.7925
689.5575	 87.7889
690.0234	 87.7847
690.4893	 87.7802
690.9553	 87.7753
691.4212	 87.7702
691.8871	 87.7649
692.3530	 87.7598
692.8189	 87.7548
693.2848	 87.7502
693.7508	 87.7460
694.2167	 87.7424
694.6826	 87.7395
695.1485	 87.7374
695.6144	 87.7362
696.0803	 87.7359
696.5463	 87.7365
697.0122	 87.7380
697.4781	 87.7403
697.9440	 87.7435
698.4099	 87.7473
698.8758	 87.7517
699.3418	 87.7565
699.8077	 87.7616
700.2736	 87.7668
700.7395	 87.7719
701.2054	 87.7767
701.6713	 87.7812
702.1373	 87.7851
702.6032	 87.7883
703.0691	 87.7907
703.5350	 87.7922
704.0009	 87.7927
704.4669	 87.7922
704.9328	 87.7906
705.3987	 87.7879
705.8646	 87.7843
706.3305	 87.7797
706.7964	 87.7742
707.2624	 87.7679
707.7283	 87.7609
708.1942	 87.7533
708.6601	 87.7453
709.1260	 87.7370
709.5919	 87.7284
710.0579	 87.7197
710.5238	 87.7109
710.9897	 87.7022
711.4556	 87.6934
711.9215	 87.6848
712.3874	 87.6762
712.8534	 87.6677
713.3193	 87.6592
713.7852	 87.6506
714.2511	 87.6418
714.7170	 87.6328
